Date,MSCI_ACWI,Bloomberg_Aggregate,MSCI_EM,SP500,US_10Y_TIPS,Vanguard_SmallCap (Alts Proxy),US_10Y_Treas,JPY Hedged Equity,CPI
7/1/2017,59.37977219,92.795578,37.67957687,2470.300049,92.62280273,124.3430405,94.37844849,17.477514,-0.068992264
8/1/2017,59.61807632,93.66506958,38.56564713,2471.649902,93.64621735,123.1825562,95.74899292,17.590637,0.29944523
9/1/2017,60.73894501,93.13113403,38.54845047,2519.360107,92.9740448,128.1236877,94.37323761,17.750895,0.529490589
10/1/2017,62.04515457,93.22328949,39.81302261,2575.26001,93.34711456,130.6300964,94.19524384,18.015434,-0.06320421
11/1/2017,63.29841232,93.08398438,39.65818405,2647.580078,93.28812408,134.6164703,93.92733002,18.204372,0.002432469
12/1/2017,63.62496567,93.49204254,40.53564453,2673.610107,93.79602814,134.5163422,93.95692444,18.261055,-0.058783228
1/1/2018,67.87758636,92.66706848,44.56455612,2823.810059,93.53936768,138.8652039,92.21993256,18.562428,0.544774545
2/1/2018,64.84003448,91.52693939,41.9359169,2713.830078,92.55524445,133.3666382,91.21113586,18.363445,0.453468997
3/1/2018,63.86906052,92.14466858,42.16297913,2640.870117,93.50707245,134.4187622,92.27178955,17.937048,0.22611259
4/1/2018,64.12740326,91.2715683,40.97528839,2648.050049,93.14317322,135.3296204,91.08119202,18.00408,0.397509156
5/1/2018,64.4302597,91.87593842,39.90112305,2705.27002,93.27657318,142.2305603,91.96257782,18.298452,0.415891693
6/1/2018,63.35240936,91.96327209,37.84013367,2718.370117,94.01657867,142.8545837,92.13562012,18.478872,0.15938757
7/1/2018,66.01652527,91.95346069,39.43222809,2816.290039,93.43774414,145.8011322,91.66010284,18.947166,0.006746326
8/1/2018,66.47583771,92.45605469,37.94670486,2901.52002,94.00556946,152.3874969,92.57915497,19.109026,0.055554233
9/1/2018,66.88114929,91.90024567,37.72694778,2913.97998,93.16257477,149.5542603,91.45965576,19.175671,0.116202518
10/1/2018,61.90963745,91.28932953,34.42188644,2711.73999,91.98023224,134.9587555,91.18167877,18.330616,0.176676346
11/1/2018,62.89133072,91.76160431,36.10958862,2760.169922,92.4280014,137.914093,92.38249969,18.531107,-0.334934852
12/1/2018,57.78472519,93.62945557,34.33398056,2506.850098,92.70851898,121.8997192,94.78240967,18.120579,-0.319396282
1/1/2019,63.05005264,94.89742279,38.45428467,2704.100098,94.32164764,136.9477997,95.79850006,18.730944,0.190659667
2/1/2019,64.60539246,94.55303955,37.86542892,2784.48999,94.16027832,143.5978546,95.0951767,18.855494,0.422705314
3/1/2019,65.6240921,96.56006622,38.29368591,2834.399902,96.02004242,141.9167633,97.63829041,18.845917,0.564135836
4/1/2019,67.87067413,96.37540436,39.19482422,2945.830078,96.23236847,147.4715729,97.11911774,19.289577,0.529500161
5/1/2019,63.75040436,98.21775818,36.32190323,2752.060059,97.88833618,136.8873138,100.0841064,18.540279,0.212875859
6/1/2019,67.04298401,99.30065155,38.28476715,2941.76001,98.10545349,145.9621582,101.3069077,19.491316,0.019914718
7/1/2019,67.93414307,99.49040985,37.55179596,2980.379883,98.43876648,148.1840057,101.3670883,19.671705,0.167094162
8/1/2019,66.43287659,102.2515106,36.13135529,2926.459961,101.0327911,142.3049011,105.3705902,19.45013,-0.005066824
9/1/2019,67.92492676,101.6288528,36.74268341,2976.73999,100.0994492,143.8377228,104.1311417,19.700607,0.078344858
10/1/2019,69.78538513,101.8455811,38.27999878,3037.560059,99.95153809,146.6306763,104.3420639,20.074217,0.228619055
11/1/2019,71.41558838,101.8139648,38.24404907,3140.97998,100.3963699,152.7891235,103.6278381,20.393009,-0.053624303
12/1/2019,72.99051666,101.5973053,40.33874512,3230.780029,100.5776062,155.2637634,102.5270386,20.537918,-0.090976953
1/1/2020,72.81100464,104.0620651,38.66613388,3225.52002,102.9141006,152.9521484,106.3831329,20.65416,0.387976994
2/1/2020,67.35787201,105.4870682,37.2061615,2954.219971,103.7525558,139.8998718,109.3869553,19.94663,0.274061813
3/1/2020,58.32524109,104.9379272,31.33875275,2584.590088,102.0375519,108.7911072,113.4758759,19.549242,-0.217645103
4/1/2020,64.05802917,106.7309952,33.64347839,2912.429932,104.9709473,125.0669174,113.7892227,20.687281,-0.668694187
5/1/2020,67.32058716,107.4642334,34.6443367,3044.310059,105.5525208,134.63797,114.1770782,21.114626,0.001950162
6/1/2020,68.71882629,108.1938324,36.71951675,3100.290039,106.8549118,137.8157349,114.2316895,21.299156,0.547204693
7/1/2020,73.01335907,109.6288147,39.98026276,3271.120117,109.3395309,144.477066,115.2186737,21.870781,0.50582435
8/1/2020,77.41278076,108.7428207,41.13469315,3500.310059,110.3125229,150.2023315,114.1113358,22.387104,0.315321052
9/1/2020,75.12847137,108.6461258,40.71909714,3363,109.8955307,145.7851563,114.4956894,22.28968,0.139274694
10/1/2020,73.45519257,108.0326691,41.29169464,3269.959961,108.7922287,149.4698334,112.9232712,22.136923,0.041493776
11/1/2020,82.09421539,109.3443451,45.00434494,3621.629883,110.1892471,173.0543213,113.3071365,23.203173,-0.061062722
12/1/2020,85.28097534,109.3110199,47.71956635,3756.070068,111.5445786,185.2128143,112.9645538,23.447721,0.094147847
1/1/2021,85.67696381,108.8014984,49.74319077,3714.23999,111.9797516,189.7934265,111.8732681,23.441891,0.425378349
